"rating","price","rq","ju","vo","wa","kr","education","gender","income","age"
19,35.6105,1,0,0,0,0,0,1,1,39
2,50.8721,1,0,0,0,0,0,1,1,39
19,21.8023,0,0,1,0,0,0,1,1,39
19,35.6105,0,0,1,0,0,0,1,1,39
2,49.4186,0,0,1,0,0,0,1,1,39
11,21.0756,0,1,0,0,0,0,1,1,39
15,36.3372,0,1,0,0,0,0,1,1,39
2,49.4186,0,1,0,0,0,0,1,1,39
11,21.0756,0,0,0,1,0,0,1,1,39
12,34.8837,0,0,0,1,0,0,1,1,39
2,50.8721,0,0,0,1,0,0,1,1,39
11,20.3488,0,0,0,0,1,0,1,1,39
15,35.6105,0,0,0,0,1,0,1,1,39
2,50.8721,0,0,0,0,1,0,1,1,39
20,20.3488,1,0,0,0,0,0,0,1,38
18,35.6105,1,0,0,0,0,0,0,1,38
15,50.8721,1,0,0,0,0,0,0,1,38
20,21.8023,0,0,1,0,0,0,0,1,38
18,35.6105,0,0,1,0,0,0,0,1,38
15,49.4186,0,0,1,0,0,0,0,1,38
3,21.0756,0,1,0,0,0,0,0,1,38
2,36.3372,0,1,0,0,0,0,0,1,38
1,49.4186,0,1,0,0,0,0,0,1,38
3,21.0756,0,0,0,1,0,0,0,1,38
2,34.8837,0,0,0,1,0,0,0,1,38
1,50.8721,0,0,0,1,0,0,0,1,38
15,20.3488,0,0,0,0,1,0,0,1,38
15,35.6105,0,0,0,0,1,0,0,1,38
10,50.8721,0,0,0,0,1,0,0,1,38
19,20.3488,1,0,0,0,0,1,1,0,21
16,35.6105,1,0,0,0,0,1,1,0,21
7,50.8721,1,0,0,0,0,1,1,0,21
19,21.8023,0,0,1,0,0,1,1,0,21
15,35.6105,0,0,1,0,0,1,1,0,21
8,49.4186,0,0,1,0,0,1,1,0,21
18,21.0756,0,1,0,0,0,1,1,0,21
14,36.3372,0,1,0,0,0,1,1,0,21
6,49.4186,0,1,0,0,0,1,1,0,21
19,21.0756,0,0,0,1,0,1,1,0,21
14,34.8837,0,0,0,1,0,1,1,0,21
6,50.8721,0,0,0,1,0,1,1,0,21
19,20.3488,0,0,0,0,1,1,1,0,21
15,35.6105,0,0,0,0,1,1,1,0,21
7,50.8721,0,0,0,0,1,1,1,0,21
20,20.3488,1,0,0,0,0,0,1,1,39
10,35.6105,1,0,0,0,0,0,1,1,39
1,50.8721,1,0,0,0,0,0,1,1,39
20,21.8023,0,0,1,0,0,0,1,1,39
10,35.6105,0,0,1,0,0,0,1,1,39
1,49.4186,0,0,1,0,0,0,1,1,39
10,21.0756,0,1,0,0,0,0,1,1,39
1,36.3372,0,1,0,0,0,0,1,1,39
1,49.4186,0,1,0,0,0,0,1,1,39
10,21.0756,0,0,0,1,0,0,1,1,39
1,34.8837,0,0,0,1,0,0,1,1,39
1,50.8721,0,0,0,1,0,0,1,1,39
20,20.3488,0,0,0,0,1,0,1,1,39
10,35.6105,0,0,0,0,1,0,1,1,39
1,50.8721,0,0,0,0,1,0,1,1,39
20,20.3488,1,0,0,0,0,1,0,1,39
19,35.6105,1,0,0,0,0,1,0,1,39
12,50.8721,1,0,0,0,0,1,0,1,39
18,21.8023,0,0,1,0,0,1,0,1,39
17,35.6105,0,0,1,0,0,1,0,1,39
11,49.4186,0,0,1,0,0,1,0,1,39
16,21.0756,0,1,0,0,0,1,0,1,39
13,36.3372,0,1,0,0,0,1,0,1,39
10,49.4186,0,1,0,0,0,1,0,1,39
15,21.0756,0,0,0,1,0,1,0,1,39
